tau,theta,MVI,Deli,AcorAr,MG
455,181,0.999981668,0.999977956,4329.209163,34.10180275
155,181,0.999982636,0.999978989,14369.15596,68.09989471
505,41,0.999848834,0.999848355,188.7224454,26.95774936
155,181,0.99998902,0.999984262,14285.01308,68.09989471
405,1,0.993892787,0.993641948,1.584990129,39.4970331
155,81,0.999956362,0.999954876,2639.801359,39.66876315
655,81,0.999937598,0.999937056,604.2554784,26.51542568
255,1,0.993799895,0.993557794,0.723344183,37.9722011
205,181,0.999982478,0.999978992,11070.02863,57.03389978
455,81,0.999938242,0.99993807,784.4145311,27.04667566
205,161,0.999979608,0.999978493,8772.590364,52.4540299
355,1,0.984142112,0.984132436,12.69796016,39.07354988
55,81,0.999975174,0.999964725,9186.038268,75.42505606
505,1,0.984624512,0.98461429,14.57860342,40.18441111
605,61,0.999886926,0.999886902,287.0282195,26.6205658
205,1,0.978779052,0.978773839,10.9067407,37.20850777
305,21,0.999700774,0.99970038,64.73976556,27.33416948
605,121,0.999964757,0.999964249,1686.282673,27.47321513
255,161,0.999977986,0.999977379,7026.210439,44.9112807
305,141,0.999973883,0.999973259,4462.161654,36.89686363
105,121,0.999977318,0.999974683,10101.31233,67.61071323
505,21,0.99969963,0.99969951,56.43062114,28.91337572
255,61,0.999916808,0.999908451,698.3995483,28.44463953
655,121,0.999971752,0.999966402,1605.538522,27.16650452
55,41,0.999928285,0.999924415,2312.639345,50.5171033
255,181,0.999980766,0.999979066,8689.277569,48.76987543
255,1,0.978894339,0.978889054,11.94603976,37.9722011
455,41,0.999847907,0.999847777,195.0071256,26.7703314
605,181,0.999973341,0.999973191,2881.521325,30.31953717
405,81,0.999937524,0.999935238,884.7929847,27.47321513
5,1,0.978673884,0.978668897,9.21200153,27.47321513
105,41,0.999886051,0.999885093,871.7870735,33.79806112
605,161,0.999971046,0.999968641,3392.804435,29.23574705
255,101,0.999973833,0.999969391,2301.685974,34.03005425
255,81,0.999944455,0.999944207,1396.225753,30.97108643
555,61,0.999887852,0.999887378,302.4279202,26.54758314
455,161,0.999972537,0.999971833,4220.357797,32.32930726
555,141,0.999967098,0.999966963,3102.438342,28.86998276
555,21,0.999709353,0.999708876,67.5506198,29.25681847
605,141,0.99996659,0.999966341,3015.26398,28.27670525
605,61,0.999887294,0.999885185,281.6167573,26.6205658
655,181,0.999972888,0.999972622,2568.351927,29.55865137
155,81,0.999968824,0.999959453,2651.924287,39.66876315
355,121,0.999978387,0.999972242,2358.715591,31.82994294
305,101,0.999971579,0.999969973,1741.306127,31.46570468
355,21,0.999693842,0.999693736,54.61326733,27.75233043
605,1,0.979369371,0.979363778,16.04265862,40.72714723
405,1,0.980204239,0.98019797,13.99360975,39.4970331
205,101,0.999983875,0.999974804,3088.661352,38.27772444
605,81,0.999937505,0.999936965,638.6038219,26.54337605
405,121,0.999968961,0.999968258,2108.686464,30.30549204
405,41,0.999848148,0.99984802,209.6499527,26.61629286
405,41,0.999844257,0.999844236,197.4747446,26.61629286
155,121,0.999979609,0.999976548,6514.012203,52.22633962
355,161,0.999974817,0.999974306,5154.419111,36.50506698
